Team,Stadium,LatD,LatM,LatS,LonD,LonM,LonS
Aston Villa,Villa Park,52,30,33,-1,53,5
Birmingham City,St Andrews,52,28,32.5,-1,52,5.48
Blackburn Rovers,Ewood Park,53,43,43,-2,29,21
Bolton Wanderers,Macron Stadium,53,34,50,-2,32,8
Brentford,Griffin Park,51,29,17.5,-0,18,9.5
Bristol City,Ashton Gate,51,26,24,-2,37,13
Derby County,Pride Park Stadium,52,54,54,-1,26,50
Hull City,KCOM Stadium,53,44,46,-0,22,4
Ipswich Town,Portman Road,52,3,18.2,1,8,41.4
Leeds United,Elland Road,53,46,40,-1,34,20
Middlesborough,Riverside Stadium,54,34,42,-1,13,1
Millwall,The Den,51,29,9.4,-0,3,3.4
Norwich City,Carrow Road,52,37,19.7,1,18,31.5
Nottingham Forest,City Ground,52,56,24,-1,7,58
Preston North End,Deepdale,53,46,20,-2,41,17
Queens Park Rangers,Loftus Road,51,30,33,-0,13,56
Reading,Madejski Stadium,51,25,20,-0,58,58
Rotherham United,New York Stadium,53,25,37.6,-1,21,46.8
Sheffield United,Bramall Land,53,22,13,-1,28,15
Sheffield Wednesday,Hillsborough,53,24,41,-1,30,2
Stoke City,Britannia Stadium,52,59,18,-2,10,32
Swansea City,Liberty Stadium,51,38,32,-3,56,6.4
West Bromich Albion,The Hawthorns,52,30,33,-1,57,50
Wigan Athletic,DW Stadium,53,32,52,-2,39,14
