Team,Stadium,LatD,LatM,LatS,LonD,LonM,LonS
Arsenal,Emirates Stadium,51,33,18,-0,6,31
Bournemouth,Dean Court (Vitality Stadium),50,44,7,-1,50,18
Brighton and Hove Albion,Falmer Stadium (The Amex),50,51,41.76,-0,5,1.32
Burnley,Turf Moor,53,47,21,-2,13,49
Cardiff City,Cardiff City Stadium (Dinas Caerdydd),51,28,22,-3,12,11
Chelsea,Stamford Bridge,51,28,54,-0,11,28
Crystal Palace,Selhurst Park,51,23,54,-0,5,8
Everton,Goodison Park,53,26,20,-2,57,59
Fulham,Craven Cottage,51,28,30,-0,13,18
Huddersfield Town,Kirklees Stadium (John Smith's Stadium),53,39,15,-1,46,6
Leicester City,King Power Stadium,52,37,13,-1,8,32
Liverpool,Anfield,53,25,51,-2,57,39
Manchester City,Etihad Stadium,53,28,59,-2,12,1
Manchester United,Old Trafford,53,27,47,-2,17,29
Newcastle United,St. James' Park,54,58,32,-1,37,18
Southampton,St Mary's Stadium,50,54,21,-1,23,28
Tottenham Hotspur,White Hart Lane,51,36,12,-0,3,57
Watford,Vicarage Road,51,38,59.4,-0,24,5.35
West Ham United,London Stadium (Olympic Stadium),51,32,19,-0,0,59
Wolverhampton Wanderers,Molineux Stadium,52,35,25,-2,7,49
